id,question_id,option_text,is_correct,media_type,media_content
1,1,"Java, API, Markup",False,,
2,1,"JavaScript, ASP, Markup",False,,
3,1,"Java, ASP, Markup",False,,
4,1,"JavaScript, API, Markup",True,,
5,2,Sir Tim Berners-Lee,False,,
6,2,Roy Fielding,False,,
7,2,Mathias Biilmann,True,,
8,2,None of the above,False,,
9,3,Progressive World App,False,,
10,3,Permanent Web App,False,,
11,3,Progressive Web App,True,,
12,3,None of the above,False,,
13,4,Simple Page App,False,,
14,4,Single Page App,True,,
15,4,Single page Asset,False,,
16,4,None of the above,False,,
17,5,5000,True,,
18,5,8000,False,,
19,5,8080,False,,
20,5,3000,False,,
21,6,,False,code,<applet code=“appletdemo.class”> </applet>
22,6,,False,code,<applet code = “appletdemo” > </applet>
23,6,Both 1 and 2,True,,
24,6,None of the above,False,,
25,7,It is used to display alternative text in case the browser does not support Java.,True,,
26,7,It is used to display alternative text in case JavaScript is disabled in the browser.,False,,
27,7,It is used to display the title for the applet.,False,,
28,7,None of the above,False,,
29,8,JavaScript can be used for DOM manipulation.,True,,
30,8,"Being a client side scripting language, it reduces the load on the server.",True,,
31,8,JavaScript cannot be used in the backend.,False,,
32,8,All of the above,False,,
33,9,DOM Manipulation,False,,
34,9,Asynchronous Processing,False,,
35,9,Event Loop,False,,
36,9,All of the above,True,,
37,10,It is a special program that can be run by a browser's java virtual machine.,True,,
38,10,It is a programming language.,False,,
39,10,Applets are written in java.,True,,
40,10,It can be embedded in HTML documents.,True,,
41,11,Mozilla Firefox,True,,
42,11,Google Chrome,False,,
43,11,Internet Explorer,False,,
44,11,Safari,False,,
45,12,JavaScript always requires a browser for its execution.,False,,
46,12,JavaScript cannot be invoked using command line.,False,,
47,12,JavaScript always requires a document context in order to be executed.,False,,
48,12,All of the above,True,,
49,13,5,False,,
50,13,undefined,False,,
51,13,,False,,
52,13,Reference Error,True,,
53,14,AJAX is an acronym for Asynchronous JavaScript and XML.,True,,
54,14,It is a technology used to send request to the server without reloading the page via JavaScript.,True,,
